workload,trial_idx,datetime,accumulated_submission_time,accuracy,loss,global_step,epoch,steps_per_epoch,global_start_time,goal_reached,is_time_remaining,training_complete,batch_size,hparam.learning_rate,hparam.momentum,workload.eval_period_time_sec,workload.max_allowed_runtime_sec,workload.num_eval_train_examples,workload.num_train_examples,workload.num_validation_examples,workload.target_value,extra.cifar10.target_value,cpu.util.avg_percent_since_last,cpu.freq.current,mem.total,mem.available,mem.used,mem.percent_used,mem.read_bytes_since_boot,mem.write_bytes_since_boot,net.bytes_sent_since_boot,net.bytes_recv_since_boot,gpu.count,gpu.0.compute.util,gpu.0.mem.util,gpu.0.mem.total,gpu.0.mem.used,gpu.0.mem.free,gpu.0.temp.current,gpu.avg.compute.util,gpu.avg.mem.util,gpu.avg.mem.total,gpu.avg.mem.used,gpu.avg.mem.free,gpu.avg.temp.current
cifar10_jax_dropout,5,2022-04-13T21:05:03.554955,0.3404760360717773,0.1091000065207481,2.3045403957366943,0,0.0,781,1649898299.1294713,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,4.9,2194.842,186810937344,145772818432,39699619840,22.0,423108294144,247125057024,4133814603257,37391661173295,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0
cifar10_jax_dropout,5,2022-04-13T21:05:33.162956,24.240089654922485,0.2177000045776367,2.199692487716675,781,1.0,781,1649898299.1294713,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,4.2,2194.842,186810937344,145646866432,39825154048,22.0,423108294144,247125059072,4133834761649,37395227336728,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0
cifar10_jax_dropout,5,2022-04-13T21:05:56.620122,42.37669134140015,0.3279000222682953,1.820762157440185,1562,2.0,781,1649898299.1294713,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,4.3,2194.842,186810937344,145453035520,40018624512,22.1,423108294144,247125067264,4133849507368,37397614904170,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0
cifar10_jax_dropout,5,2022-04-13T21:06:20.853404,61.04017782211304,0.3866000175476074,1.6808527708053589,2343,3.0,781,1649898299.1294713,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,4.7,2194.842,186810937344,144820031488,40651345920,22.5,423108294144,247125097984,4133870473354,37400856208537,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0
cifar10_jax_dropout,5,2022-04-13T21:06:42.268833,77.25871753692627,0.4370000064373016,1.580538272857666,3124,4.0,781,1649898299.1294713,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,4.4,2194.842,186810937344,144933801984,40538202112,22.4,423108294144,247125206528,4133884710228,37403233988410,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0
cifar10_jax_dropout,5,2022-04-13T21:07:06.063688,95.25132298469543,0.4778000116348266,1.4551292657852173,3905,5.0,781,1649898299.1294713,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,4.6,2194.842,186810937344,144813666304,40657862656,22.5,423108294144,247125208064,4133903428610,37406006583974,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0
cifar10_jax_dropout,5,2022-04-13T21:07:29.927396,113.58976316452026,0.527999997138977,1.3398709297180176,4686,6.0,781,1649898299.1294713,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,4.7,2194.842,186810937344,144146714624,41324781568,22.8,423108294144,247125209600,4133921482104,37408756272439,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,32.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,32.0
cifar10_jax_dropout,5,2022-04-13T21:07:53.500659,131.95643711090088,0.5562000274658203,1.2615622282028198,5467,7.0,781,1649898299.1294713,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,4.8,2194.842,186810937344,142509096960,42962436096,23.7,423108294144,247125209600,4133939888600,37411391187808,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,32.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,32.0
cifar10_jax_dropout,5,2022-04-13T21:08:17.341346,150.61590433120728,0.5761000514030457,1.194438338279724,6248,8.0,781,1649898299.1294713,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,4.9,2194.842,186810937344,140673323008,44799205376,24.7,423108294144,247125209600,4133957458684,37414025296239,1,0.02,0.9164257151645648,32510.0,29793.0,2717.0,32.0,0.02,0.9164257151645648,32510.0,29793.0,2717.0,32.0
cifar10_jax_dropout,5,2022-04-13T21:08:41.433124,169.03059577941897,0.6093000173568726,1.1175577640533447,7029,9.0,781,1649898299.1294713,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,4.7,2194.842,186810937344,144095993856,41375490048,22.9,423108294144,247125209600,4133975759558,37416725081556,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0
cifar10_jax_dropout,5,2022-04-13T21:09:05.882645,187.77187514305115,0.6340000033378601,1.0581668615341189,7810,10.0,781,1649898299.1294713,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,4.9,2194.842,186810937344,143726018560,41745969152,23.1,423108294144,247125209600,4133997794644,37420140364694,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0
cifar10_jax_dropout,5,2022-04-13T21:09:28.708447,205.2338376045227,0.638200044631958,1.02364981174469,8591,11.0,781,1649898299.1294713,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,4.9,2194.842,186810937344,143489191936,41983070208,23.2,423108294144,247125209600,4134015623948,37423024780541,1,0.01,0.9164257151645648,32510.0,29793.0,2717.0,31.0,0.01,0.9164257151645648,32510.0,29793.0,2717.0,31.0
cifar10_jax_dropout,5,2022-04-13T21:09:52.132399,222.92111921310425,0.6494000554084778,1.0001996755599976,9372,12.0,781,1649898299.1294713,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,4.8,2194.842,186810937344,143369797632,42101293056,23.3,423108294144,247125209600,4134032727146,37425510671752,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0
cifar10_jax_dropout,5,2022-04-13T21:10:15.826231,240.89595746994016,0.6633000373840332,0.9684003591537476,10153,13.0,781,1649898299.1294713,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,5.1,2194.842,186810937344,143084883968,42386104320,23.4,423108294144,247125238272,4134051649836,37428512522915,1,0.02,0.9164257151645648,32510.0,29793.0,2717.0,31.0,0.02,0.9164257151645648,32510.0,29793.0,2717.0,31.0
cifar10_jax_dropout,5,2022-04-13T21:10:39.354340,258.9621243476868,0.6778000593185425,0.917837142944336,10934,14.0,781,1649898299.1294713,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,5.0,2194.842,186810937344,142423425024,43048218624,23.8,423108294144,247125242368,4134070055700,37431147732854,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0
cifar10_jax_dropout,5,2022-04-13T21:11:02.214935,276.2648346424103,0.6859000325202942,0.9037283658981324,11715,15.0,781,1649898299.1294713,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,4.9,2194.842,186810937344,142685147136,42785914880,23.6,423108294144,247125329408,4134086157810,37433723741270,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0
cifar10_jax_dropout,5,2022-04-13T21:11:24.947450,293.6631155014038,0.6926000118255615,0.8809307217597961,12496,16.0,781,1649898299.1294713,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,5.1,2194.842,186810937344,142456819712,43014619136,23.7,423108294144,247125329408,4134097784536,37436409412981,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,32.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,32.0
cifar10_jax_dropout,5,2022-04-13T21:11:47.799563,311.192747592926,0.7032000422477722,0.8487727046012878,13277,17.0,781,1649898299.1294713,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,4.9,2194.842,186810937344,142317080576,43154595840,23.8,423108294144,247125330944,4134113208338,37438702337832,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,32.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,32.0
cifar10_jax_dropout,5,2022-04-13T21:12:10.867724,328.42136669158936,0.713200032711029,0.8375731110572815,14058,18.0,781,1649898299.1294713,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,4.9,2194.842,186810937344,142056448000,43415384064,24.0,423108294144,247125332480,4134124642090,37440593130467,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,32.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,32.0
cifar10_jax_dropout,5,2022-04-13T21:12:33.631023,345.7745952606201,0.7172000408172607,0.815250813961029,14839,19.0,781,1649898299.1294713,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,5.0,2194.842,186810937344,135992811520,49478754304,27.2,423108294144,247125332480,4134139000358,37442991129331,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0
cifar10_jax_dropout,5,2022-04-13T21:12:56.984648,363.899774312973,0.720300018787384,0.8114004731178284,15620,20.0,781,1649898299.1294713,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,4.7,2194.842,186810937344,139912323072,45559017472,25.1,423108294144,247125332480,4134154981346,37445623405996,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0
cifar10_jax_dropout,5,2022-04-13T21:13:20.276362,381.74686074256897,0.7271000146865845,0.7850854396820068,16401,21.0,781,1649898299.1294713,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,4.5,2194.842,186810937344,141501235200,43970392064,24.3,423108294144,247125332480,4134166091600,37447132806275,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0
cifar10_jax_dropout,5,2022-04-13T21:13:43.739228,400.035213470459,0.7324000597000122,0.7715986967086792,17182,22.0,781,1649898299.1294713,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,4.9,2194.842,186810937344,135531520000,49940406272,27.4,423108294144,247125332480,4134181532462,37449573511896,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0
cifar10_jax_dropout,5,2022-04-13T21:14:07.158165,418.011239528656,0.7279000282287598,0.7671357989311218,17963,23.0,781,1649898299.1294713,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,4.7,2194.842,186810937344,139762397184,45709119488,25.2,423108294144,247125332480,4134198448584,37452207353712,1,0.03,0.9164257151645648,32510.0,29793.0,2717.0,31.0,0.03,0.9164257151645648,32510.0,29793.0,2717.0,31.0
cifar10_jax_dropout,5,2022-04-13T21:14:30.549680,436.2353312969208,0.7467000484466553,0.7383827567100525,18744,24.0,781,1649898299.1294713,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,4.6,2194.842,186810937344,135515516928,49956577280,27.5,423108294144,247125332480,4134208436554,37453524695087,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0
cifar10_jax_dropout,5,2022-04-13T21:14:53.348733,453.5110771656037,0.7481000423431396,0.7298112511634827,19525,25.0,781,1649898299.1294713,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,4.6,2194.842,186810937344,140819316736,44651999232,24.6,423108294144,247125332480,4134221688588,37456154968634,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0
cifar10_jax_dropout,5,2022-04-13T21:15:16.442902,470.9757556915283,0.749500036239624,0.7243561148643494,20306,26.0,781,1649898299.1294713,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,4.9,2194.842,186810937344,140799463424,44672323584,24.6,423108294144,247125332480,4134229899376,37457497960541,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0
cifar10_jax_dropout,5,2022-04-13T21:15:39.328604,488.6259875297546,0.74590003490448,0.7349610924720764,21087,27.0,781,1649898299.1294713,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,4.8,2194.842,186810937344,140079632384,45392535552,25.0,423108294144,247125336064,4134247417590,37460104860314,1,0.01,0.9164257151645648,32510.0,29793.0,2717.0,31.0,0.01,0.9164257151645648,32510.0,29793.0,2717.0,31.0
cifar10_jax_dropout,5,2022-04-13T21:16:00.562026,504.9845588207245,0.7560000419616699,0.7023067474365234,21868,28.0,781,1649898299.1294713,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,4.9,2194.842,186810937344,140665380864,44806156288,24.7,423108294144,247125390336,4134255598884,37461491681872,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0
cifar10_jax_dropout,5,2022-04-13T21:16:24.250686,523.3971681594849,0.763200044631958,0.6928926110267639,22649,29.0,781,1649898299.1294713,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,5.0,2194.842,186810937344,136167059456,49304563712,27.1,423108294144,247125390336,4134270903248,37464052474673,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0
cifar10_jax_dropout,5,2022-04-13T21:16:47.855394,541.5060305595398,0.7574000358581543,0.7079092264175415,23430,30.0,781,1649898299.1294713,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,4.9,2194.842,186810937344,140363628544,45108187136,24.9,423108294144,247125391872,4134287343128,37466685917290,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0
cifar10_jax_dropout,5,2022-04-13T21:17:09.372901,558.147723197937,0.7570000290870667,0.6992433667182922,24211,31.0,781,1649898299.1294713,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,5.1,2194.842,186810937344,132183347200,53287563264,29.2,423108294144,247125393408,4134294883956,37468000911471,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0
cifar10_jax_dropout,5,2022-04-13T21:17:32.914076,576.2550764083862,0.7639000415802002,0.6733525991439819,24992,32.0,781,1649898299.1294713,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,4.9,2194.842,186810937344,139731341312,45740974080,25.2,423108294144,247125393408,4134312739738,37470635547463,1,0.02,0.9164257151645648,32510.0,29793.0,2717.0,31.0,0.02,0.9164257151645648,32510.0,29793.0,2717.0,31.0
cifar10_jax_dropout,5,2022-04-13T21:17:54.986115,593.3331441879272,0.7664000391960144,0.6709897518157959,25773,33.0,781,1649898299.1294713,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,5.3,2194.842,186810937344,139825209344,45646065664,25.2,423108294144,247125393408,4134314973826,37470635666948,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0
cifar10_jax_dropout,5,2022-04-13T21:18:17.021014,610.3355464935303,0.773300051689148,0.6498018503189087,26554,34.0,781,1649898299.1294713,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,5.3,2194.842,186810937344,139945549824,45526114304,25.1,423108294144,247125411840,4134317207342,37470635788645,1,0.02,0.9164257151645648,32510.0,29793.0,2717.0,31.0,0.02,0.9164257151645648,32510.0,29793.0,2717.0,31.0
cifar10_jax_dropout,5,2022-04-13T21:18:39.534890,627.3431537151337,0.7737000584602356,0.6506450176239014,27335,35.0,781,1649898299.1294713,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,5.3,2194.842,186810937344,139858210816,45613342720,25.1,423108294144,247125514240,4134319444380,37470635910520,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0
cifar10_jax_dropout,5,2022-04-13T21:19:01.936016,644.6474089622498,0.7780000567436218,0.6334339380264282,28116,36.0,781,1649898299.1294713,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,5.3,2194.842,186810937344,139888148480,45583794176,25.1,423108294144,247125572096,4134321678164,37470636028644,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,32.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,32.0
cifar10_jax_dropout,5,2022-04-13T21:19:24.228030,661.7122139930725,0.7772000432014465,0.6398735642433167,28897,37.0,781,1649898299.1294713,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,5.3,2194.842,186810937344,139676946432,45794496512,25.2,423108294144,247125572096,4134324710504,37470636166517,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,31.0
