workload,trial_idx,datetime,accumulated_submission_time,accuracy,loss,global_step,epoch,steps_per_epoch,global_start_time,goal_reached,is_time_remaining,training_complete,batch_size,hparam.learning_rate,hparam.momentum,workload.eval_period_time_sec,workload.max_allowed_runtime_sec,workload.num_eval_train_examples,workload.num_train_examples,workload.num_validation_examples,workload.target_value,extra.cifar10.target_value,cpu.util.avg_percent_since_last,cpu.freq.current,mem.total,mem.available,mem.used,mem.percent_used,mem.read_bytes_since_boot,mem.write_bytes_since_boot,net.bytes_sent_since_boot,net.bytes_recv_since_boot,gpu.count,gpu.0.compute.util,gpu.0.mem.util,gpu.0.mem.total,gpu.0.mem.used,gpu.0.mem.free,gpu.0.temp.current,gpu.avg.compute.util,gpu.avg.mem.util,gpu.avg.mem.total,gpu.avg.mem.used,gpu.avg.mem.free,gpu.avg.temp.current
cifar10_jax,1,2022-04-13T14:24:48.886452,2.723608016967773,0.0970000028610229,2.311391830444336,0,0.0,781,1649874273.7423267,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,23.5,2095.0760000000005,218788868096,160821088256,56663416832,26.5,10958477312,56155347456,910963188540,15267179639629,1,0.0,0.925807509427775,12198.0,11293.0,905.0,32.0,0.0,0.925807509427775,12198.0,11293.0,905.0,32.0
cifar10_jax,1,2022-04-13T14:25:17.026229,25.617388010025024,0.3011000156402588,1.9399840831756592,781,1.0,781,1649874273.7423267,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,24.4,2095.0760000000005,218788868096,160249643008,57234862080,26.8,10958477312,56155444736,910963335457,15267179784670,1,0.22,0.925807509427775,12198.0,11293.0,905.0,33.0,0.22,0.925807509427775,12198.0,11293.0,905.0,33.0
cifar10_jax,1,2022-04-13T14:25:37.355634,41.31666302680969,0.4362000226974487,1.5908857583999634,1562,2.0,781,1649874273.7423267,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,24.1,2095.0760000000005,218788868096,160114073600,57370431488,26.8,10958477312,56155556864,910965611257,15267179868767,1,0.03,0.925807509427775,12198.0,11293.0,905.0,33.0,0.03,0.925807509427775,12198.0,11293.0,905.0,33.0
cifar10_jax,1,2022-04-13T14:25:57.486619,57.238484144210815,0.504800021648407,1.390416979789734,2343,3.0,781,1649874273.7423267,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,24.0,2095.0760000000005,218788868096,160160690176,57323814912,26.8,10958497792,56155556864,910968108872,15267180101507,1,0.23,0.925807509427775,12198.0,11293.0,905.0,33.0,0.23,0.925807509427775,12198.0,11293.0,905.0,33.0
cifar10_jax,1,2022-04-13T14:26:17.970274,73.23742961883545,0.5732000470161438,1.2210586071014404,3124,4.0,781,1649874273.7423267,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,24.1,2095.0760000000005,218788868096,159805042688,57679462400,27.0,10958514176,56155558400,910970389570,15267180185128,1,0.03,0.925807509427775,12198.0,11293.0,905.0,33.0,0.03,0.925807509427775,12198.0,11293.0,905.0,33.0
cifar10_jax,1,2022-04-13T14:26:37.105835,88.14706873893738,0.6128000020980835,1.137622952461243,3905,5.0,781,1649874273.7423267,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,24.5,2095.0760000000005,218788868096,159768363008,57716142080,27.0,10958514176,56155559936,910972684461,15267180283570,1,0.23,0.925807509427775,12198.0,11293.0,905.0,33.0,0.23,0.925807509427775,12198.0,11293.0,905.0,33.0
cifar10_jax,1,2022-04-13T14:26:56.962609,103.27096319198608,0.622700035572052,1.112249732017517,4686,6.0,781,1649874273.7423267,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,24.0,2095.0760000000005,218788868096,159736057856,57748447232,27.0,10958514176,56155559936,910974964376,15267180370668,1,0.0,0.925807509427775,12198.0,11293.0,905.0,33.0,0.0,0.925807509427775,12198.0,11293.0,905.0,33.0
cifar10_jax,1,2022-04-13T14:27:16.627433,118.66666030883788,0.6624000072479248,0.986278772354126,5467,7.0,781,1649874273.7423267,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,24.0,2095.0760000000005,218788868096,160379990016,57104515072,26.7,10958514176,56155559936,910977283442,15267180492851,1,0.05,0.925807509427775,12198.0,11293.0,905.0,34.0,0.05,0.925807509427775,12198.0,11293.0,905.0,34.0
cifar10_jax,1,2022-04-13T14:27:37.423829,134.94650673866272,0.6695000529289246,0.98343688249588,6248,8.0,781,1649874273.7423267,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,24.2,2095.0760000000005,218788868096,159920631808,57563873280,26.9,10958514176,56155559936,910979584217,15267180600975,1,0.23,0.925807509427775,12198.0,11293.0,905.0,34.0,0.23,0.925807509427775,12198.0,11293.0,905.0,34.0
cifar10_jax,1,2022-04-13T14:27:56.820338,149.8901526927948,0.6969000101089478,0.8871992826461792,7029,9.0,781,1649874273.7423267,False,True,False,64,0.001,0.9,30,3600,50000,50000,10000,1.0,1.0,24.2,2095.0760000000005,218788868096,159570542592,57913962496,27.1,10958514176,56155559936,910981863307,15267180681556,1,0.23,0.925807509427775,12198.0,11293.0,905.0,34.0,0.23,0.925807509427775,12198.0,11293.0,905.0,34.0
