workload,trial_idx,datetime,accumulated_submission_time,accuracy,loss,global_step,epoch,steps_per_epoch,global_start_time,goal_reached,is_time_remaining,training_complete,batch_size,hparam.learning_rate,hparam.momentum,workload.eval_period_time_sec,workload.max_allowed_runtime_sec,workload.num_eval_train_examples,workload.num_train_examples,workload.num_validation_examples,workload.target_value,extra.coil100.target_value,extra.coil100.aug_fliplr,extra.cifar10.aug_width_shift_max,extra.cifar10.aug_height_shift_max,cpu.util.avg_percent_since_last,cpu.freq.current,mem.total,mem.available,mem.used,mem.percent_used,mem.read_bytes_since_boot,mem.write_bytes_since_boot,net.bytes_sent_since_boot,net.bytes_recv_since_boot,gpu.count,gpu.0.compute.util,gpu.0.mem.util,gpu.0.mem.total,gpu.0.mem.used,gpu.0.mem.free,gpu.0.temp.current,gpu.avg.compute.util,gpu.avg.mem.util,gpu.avg.mem.total,gpu.avg.mem.used,gpu.avg.mem.free,gpu.avg.temp.current
coil100_jax_dropout,5,2022-04-11T23:04:50.127674,2.9712460041046143,0.0090277781710028,4.5697021484375,0,0.0,90,1649732679.216717,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,0.5,13,13,17.5,2194.842,186810937344,152643833856,32277618688,18.3,423026051072,224998072320,4029455956821,36563924883430,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0
coil100_jax_dropout,5,2022-04-11T23:05:09.330392,12.484464406967165,0.0673611164093017,4.2011542320251465,90,1.0,90,1649732679.216717,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,0.5,13,13,17.3,2194.842,186810937344,151840456704,33081384960,18.7,423026051072,224998150656,4029458184963,36563924913575,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0
coil100_jax_dropout,5,2022-04-11T23:05:28.665273,22.02372431755066,0.2833333313465118,3.088308334350586,180,2.0,90,1649732679.216717,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,0.5,13,13,17.2,2194.842,186810937344,152533393408,32386883584,18.3,423026051072,224998150656,4029478418557,36563925081513,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0
coil100_jax_dropout,5,2022-04-11T23:05:48.311563,31.91563606262207,0.5090277791023254,1.9462484121322632,270,3.0,90,1649732679.216717,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,0.5,13,13,17.2,2194.842,186810937344,153714098176,31207202816,17.7,423026051072,224998205952,4029498661052,36563925266566,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0
coil100_jax_dropout,5,2022-04-11T23:06:07.441179,41.76494145393372,0.6736111044883728,1.2538753747940063,360,4.0,90,1649732679.216717,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,0.5,13,13,17.7,2194.842,186810937344,153646960640,31273930752,17.8,423026051072,224998230528,4029518897708,36563925439954,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0
coil100_jax_dropout,5,2022-04-11T23:06:26.875337,51.3954975605011,0.8020833730697632,0.7101799249649048,450,5.0,90,1649732679.216717,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,0.5,13,13,17.6,2194.842,186810937344,153062821888,31857541120,18.1,423026051072,224998238720,4029541330130,36563925819473,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0
coil100_jax_dropout,5,2022-04-11T23:06:46.400634,61.35607600212097,0.8618055582046509,0.5009574890136719,540,6.0,90,1649732679.216717,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,0.5,13,13,17.3,2194.842,186810937344,152510181376,32411193344,18.4,423026067456,224998447616,4029564428644,36563926095928,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0
coil100_jax_dropout,5,2022-04-11T23:07:06.279757,71.03998613357544,0.8902778029441833,0.3332663774490356,630,7.0,90,1649732679.216717,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,0.5,13,13,17.4,2194.842,186810937344,152242495488,32678350848,18.5,423026067456,224998447616,4029584667792,36563926270070,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0
coil100_jax_dropout,5,2022-04-11T23:07:25.674297,80.67844295501709,0.9076389074325562,0.2647314369678497,720,8.0,90,1649732679.216717,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,0.5,13,13,17.3,2194.842,186810937344,152765612032,32155721728,18.2,423026067456,224998497792,4029604913806,36563926452173,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0
coil100_jax_dropout,5,2022-04-11T23:07:44.961117,90.50019574165344,0.9409722685813904,0.1965721994638443,810,9.0,90,1649732679.216717,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,0.5,13,13,17.3,2194.842,186810937344,154223792128,30697648128,17.4,423026067456,224998499328,4029625158522,36563926622828,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0
coil100_jax_dropout,5,2022-04-11T23:08:04.529387,100.20731377601624,0.9340277910232544,0.2047728300094604,900,10.0,90,1649732679.216717,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,0.5,13,13,17.7,2194.842,186810937344,153644453888,31276576768,17.8,423026067456,224998499328,4029645403286,36563926797444,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0
coil100_jax_dropout,5,2022-04-11T23:08:24.729244,110.05624461174013,0.956250011920929,0.1140832528471946,990,11.0,90,1649732679.216717,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,0.5,13,13,17.5,2194.842,186810937344,152589070336,32331595776,18.3,423026067456,224998500864,4029667873966,36563926996665,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0
coil100_jax_dropout,5,2022-04-11T23:08:44.306913,119.81594014167786,0.9541667103767396,0.1233435571193695,1080,12.0,90,1649732679.216717,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,0.5,13,13,17.7,2194.842,186810937344,152617484288,32303407104,18.3,423026067456,224998500864,4029688126946,36563927166890,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0
coil100_jax_dropout,5,2022-04-11T23:09:03.839524,129.40097498893738,0.9701389074325562,0.0769999921321868,1170,13.0,90,1649732679.216717,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,0.5,13,13,17.3,2194.842,186810937344,152018358272,32902639616,18.6,423026067456,224998500864,4029708382436,36563927348478,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0
coil100_jax_dropout,5,2022-04-11T23:09:23.131870,139.02086901664734,0.9625000357627868,0.0956026315689086,1260,14.0,90,1649732679.216717,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,0.5,13,13,17.3,2194.842,186810937344,152383918080,32537702400,18.4,423026067456,224998500864,4029728644174,36563927528007,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0
coil100_jax_dropout,5,2022-04-11T23:09:42.910056,148.80359363555908,0.9590278267860411,0.1021858230233192,1350,15.0,90,1649732679.216717,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,0.5,13,13,17.2,2194.842,186810937344,153729630208,31192096768,17.7,423026067456,224998500864,4029749266572,36563927765014,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0
coil100_jax_dropout,5,2022-04-11T23:10:01.837713,158.38266372680664,0.9666666984558104,0.0747333541512489,1440,16.0,90,1649732679.216717,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,0.5,13,13,17.6,2194.842,186810937344,154189520896,30731542528,17.5,423026067456,224998509056,4029769524970,36563927935320,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0
coil100_jax_dropout,5,2022-04-11T23:10:21.513356,168.03641963005066,0.977083384990692,0.0480188950896263,1530,17.0,90,1649732679.216717,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,0.5,13,13,17.5,2194.842,186810937344,153602330624,31319355392,17.8,423026067456,224998590976,4029789799066,36563928085663,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0
coil100_jax_dropout,5,2022-04-11T23:10:41.319562,177.7857789993286,0.9715278148651124,0.0556620247662067,1620,18.0,90,1649732679.216717,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,0.5,13,13,17.4,2194.842,186810937344,153414008832,31507537920,17.9,423026067456,224998673920,4029808174274,36563928335958,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0
coil100_jax_dropout,5,2022-04-11T23:11:01.337572,187.6402168273925,0.975694477558136,0.05116543546319,1710,19.0,90,1649732679.216717,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,0.5,13,13,17.4,2194.842,186810937344,152545759232,32375623680,18.3,423026067456,224998673920,4029826222280,36563928501632,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0
coil100_jax_dropout,5,2022-04-11T23:11:20.896792,197.2659547328949,0.9791666865348816,0.0440281294286251,1800,20.0,90,1649732679.216717,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,0.5,13,13,17.3,2194.842,186810937344,152858656768,32062308352,18.2,423026067456,224998675456,4029844268942,36563928624603,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,38.0
