workload,trial_idx,datetime,accumulated_submission_time,accuracy,loss,global_step,epoch,steps_per_epoch,global_start_time,goal_reached,is_time_remaining,training_complete,batch_size,hparam.learning_rate,hparam.momentum,workload.eval_period_time_sec,workload.max_allowed_runtime_sec,workload.num_eval_train_examples,workload.num_train_examples,workload.num_validation_examples,workload.target_value,extra.coil100.target_value,cpu.util.avg_percent_since_last,cpu.freq.current,mem.total,mem.available,mem.used,mem.percent_used,mem.read_bytes_since_boot,mem.write_bytes_since_boot,net.bytes_sent_since_boot,net.bytes_recv_since_boot,gpu.count,gpu.0.compute.util,gpu.0.mem.util,gpu.0.mem.total,gpu.0.mem.used,gpu.0.mem.free,gpu.0.temp.current,gpu.avg.compute.util,gpu.avg.mem.util,gpu.avg.mem.total,gpu.avg.mem.used,gpu.avg.mem.free,gpu.avg.temp.current
coil100_jax_dropout,1,2022-04-11T18:53:39.709269,8.038380861282349,0.0111111113801598,4.570685386657715,0,0.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,7.9,2194.842,186810937344,157821530112,26544345088,15.5,423023396864,224980141056,4024337021731,36562969079032,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,34.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,34.0
coil100_jax_dropout,1,2022-04-11T18:53:57.966563,10.727558851242064,0.1756944507360458,3.683915376663208,90,1.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,8.0,2194.842,186810937344,158010216448,26355937280,15.4,423023396864,224980155904,4024341507927,36562969148008,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,36.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,36.0
coil100_jax_dropout,1,2022-04-11T18:54:16.538198,13.383161067962646,0.4743055701255798,2.243664264678955,180,2.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,7.9,2194.842,186810937344,157611905024,26753609728,15.6,423023396864,224980155904,4024366222573,36562969353113,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,36.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,36.0
coil100_jax_dropout,1,2022-04-11T18:54:34.988069,16.038488388061523,0.7319444417953491,1.1746679544448853,270,3.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,8.0,2194.842,186810937344,157868982272,26496884736,15.5,423023396864,224980230144,4024384304097,36562969495668,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,36.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,36.0
coil100_jax_dropout,1,2022-04-11T18:54:53.559358,18.68214440345764,0.8423611521720886,0.6152058839797974,360,4.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,8.0,2194.842,186810937344,157319241728,27046461440,15.8,423023396864,224980230144,4024402386233,36562969619456,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0
coil100_jax_dropout,1,2022-04-11T18:55:12.168043,21.34255528450012,0.9027777910232544,0.349929004907608,450,5.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,8.0,2194.842,186810937344,156722139136,27643146240,16.1,423023396864,224980231680,4024420482809,36562969752215,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0
coil100_jax_dropout,1,2022-04-11T18:55:30.927334,24.01196956634521,0.9326388835906982,0.2054322212934494,540,6.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,8.0,2194.842,186810937344,156549042176,27816779776,16.2,423023396864,224980235776,4024438586741,36562969901043,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0
coil100_jax_dropout,1,2022-04-11T18:55:49.451327,26.63292002677917,0.9604166746139526,0.1225472465157508,630,7.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,7.9,2194.842,186810937344,155579457536,28786200576,16.7,423023396864,224980235776,4024456691905,36562970050604,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0
coil100_jax_dropout,1,2022-04-11T18:56:09.537382,29.267822980880737,0.9736111164093018,0.0844865590333938,720,8.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,7.9,2194.842,186810937344,163169742848,21195497472,12.7,423023396864,224980290048,4024475457199,36562970262335,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0
coil100_jax_dropout,1,2022-04-11T18:56:29.226662,31.907636165618896,0.977083384990692,0.0680332481861114,810,9.0,90,1649717562.5359068,False,True,False,64,0.001,0.9,30,3600,5760,5760,1440,1.0,1.0,8.0,2194.842,186810937344,162421641216,21943951360,13.1,423023396864,224980291584,4024493552521,36562970396243,1,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0,0.0,0.9164257151645648,32510.0,29793.0,2717.0,37.0
